title,price,rating,reviews,availability
"guazmon Office Chair, High Back Computer Chair with Adjustable Lumbar Support.3D Armrest and Adjustable headrest,Desk Chair with tilt Function and Position Lock Load Capacity up to 150kg",$99.99,3.8 out of 5 stars,15 ratings,Only 12 left in stock - order soon
Amazon Basics Classic Faux Leather Office Desk Guest Chair with Metal Frame - Black,$79.40,4.5 out of 5 stars,"4,355 ratings",In Stock
Amazon Basics Classic Puresoft Padded Mid-Back Office Computer Desk Chair with Armrest - Black,$71.77,4.2 out of 5 stars,"29,264 ratings",In Stock
"Milliard Cozy Chair/Faux Fur Saucer Chair for Bedroom/X-Large,25D x 38W x 34H in (Grey)",$99.99,4.4 out of 5 stars,"5,705 ratings",In Stock
Amazon Basics Classic Puresoft Padded Mid-Back Office Computer Desk Chair with Armrest - Cream,$71.77,4.2 out of 5 stars,"29,264 ratings",In Stock
"AmazonCommercial Ergonomic High-Back Bonded Leather Executive Chair with Flip-Up Arms and Lumbar Support, Black",$209.99,4.3 out of 5 stars,"3,415 ratings",In Stock
"AmazonCommercial Ergonomic Executive Office Desk Chair with Flip-up Armrests and Adjustable Height, Tilt and Lumbar Support, Cream Bonded Leather",$263.69,4.3 out of 5 stars,"2,799 ratings",In Stock
"Amazon Basics Modern Armless Office Desk Chair - Height Adjustable, 360-Degree Swivel, 275Lb Capacity - Black/Chrome",$73.74,4.6 out of 5 stars,990 ratings,In Stock
"Amazon Basics Modern Dining Chair Set, Shell Chair with Wood Legs for Kitchen, Dining, Living Room - Set of 4, Black",$134.47,4.1 out of 5 stars,469 ratings,In Stock
"Amazon Basics Upholstered Home Office Chair with Arms, Adjustable-Height, 360 Degree Swivel Rolling Desk Chair - Beige",$136.89,4.3 out of 5 stars,257 ratings,In Stock
"Amazon Brand – Rivet Faux Leather Woven Dining Chair with Wood Frame, Set of 2, 18""W, Brown",$272.02,4.3 out of 5 stars,168 ratings,In Stock
